ROI,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_Mean,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance
61,0.0,266.4706207275391,1082734677.7387388,3.4633898957029077,121.12007713317871,3.5409425796444367,737.4828491210938,172.38499737691512,74.74508933241383,196.7726821899414,0.0,737.4828491210938,71.34778402691542,195.86964198543825,-0.3267072545119174,1082734677.7387388,0.10674139833271964,8648.329330864715
62,0.0,269.5344543457031,1031690011.3297409,3.476412062259004,131.97850036621094,2.8606723866655304,647.972900390625,170.46258535590934,77.8629667081896,196.82540893554688,0.0,647.972900390625,74.67066511350346,194.93853329409927,-0.41467781839654605,1031690011.3297409,0.10490846423043558,8943.538756633974
63,0.0,267.597802734375,602398311.7150406,3.5169871991337773,125.93835258483887,4.3615709071880815,864.1943969726562,171.9257954196333,73.5105032589521,193.72982788085938,0.0,864.1943969726562,69.8150248332108,194.5716169172521,-0.18026467594702292,602398311.7150406,0.09936234729675861,8299.634979120297
64,0.0,265.7341247558594,534162740.7377468,3.533943143845613,156.51583099365234,2.05634196733514,516.3878784179688,146.24161791225401,84.17932130779701,159.13568115234375,0.0,516.3878784179688,77.19229224664264,175.9255759085326,-0.10458167078074812,534162740.7377468,0.10102035705603085,9563.197449155175
65,112.5099868774414,267.8441162109375,790710360.310639,3.298931444408983,77.30200958251953,3.882980602632578,592.3869018554688,197.2658963836256,48.24715123063109,204.45333862304688,0.0,592.3869018554688,32.68625832229969,206.78951531833488,-0.4452140569739391,790710360.310639,0.12163434736388615,3848.0697695565477
66,89.62019424438476,262.3851287841797,418047921.0178112,3.345076808697944,81.87409591674805,3.7455559634770434,571.325927734375,187.34603639771385,52.78259001095008,196.84535217285156,0.0,571.325927734375,35.176880895096915,199.51567739015786,-0.6904406435166265,418047921.0178112,0.11731370843529146,4707.96817052003
67,149.55316162109375,289.75323486328125,533339550.8573527,3.155938327067827,69.05792236328125,3.69812524111011,363.0569152832031,223.17690363117083,43.601959779606275,230.50717163085938,0.7753468751907349,362.2815684080124,29.033934568156074,230.12595163316172,-0.720663353022755,533339550.8573527,0.13495924541948176,3150.0233006713693
68,116.47061920166016,278.18870544433594,670740824.2404705,3.285680104371255,73.25798416137695,4.004974891363335,588.7985229492188,204.6609830878108,49.133323597540674,213.1170654296875,0.0,588.7985229492188,31.72144299965604,214.6625809250102,-0.8967715710492535,670740824.2404705,0.12367424109414053,4193.905650917377
69,151.4734313964844,275.25025634765626,455974051.30800664,3.035977468077741,65.47786712646484,3.405451538115224,357.31048583984375,213.24012200452222,39.317489088260295,216.18238067626953,0.0,357.31048583984375,27.055405052247696,218.99060211450336,-0.4272674374279711,455974051.30800664,0.14381591995510193,2485.5341819692057
70,85.08400573730472,261.9669189453125,574515154.8520838,3.2407477996288447,70.45166015625,3.884053070067237,501.9637451171875,191.84454681967492,50.344635444479785,203.5491180419922,0.0,501.9637451171875,31.986545003750383,203.12021271953816,-0.9986213285539391,574515154.8520838,0.12903074369296916,4453.490670783996
71,103.49259185791016,244.2733917236328,999511841.8144028,3.2126544256420906,66.34273529052734,14.377352656199442,882.9475708007812,175.18120642973304,45.40279671857056,174.20101928710938,0.0,882.9475708007812,28.553537575171998,186.64704956589011,1.0079229485714702,999511841.8144028,0.13421217951019004,4148.666025475098
72,137.8218536376953,256.6737060546875,1141717544.3168223,2.994649224770342,64.76948547363281,4.294246292450619,358.114990234375,199.12791531711397,39.629091004398944,208.70941162109375,0.0,358.114990234375,26.184110080026688,205.63139082023477,-0.7852983515119472,1141717544.3168223,0.15783384885367358,2632.342232124426
73,0.0,225.89190673828125,207539779.03315225,3.17361122498776,189.35531616210938,1.9185234270894862,520.1277465820312,122.86032164801883,74.92678930262873,143.89178466796875,0.0,520.1277465820312,70.53757384477294,150.35077854685412,-0.20491525576712927,207539779.03315225,0.13676138242481875,7510.697974190521
74,28.16005668640138,255.3079772949219,227656497.65679196,3.1824925450156423,85.5455551147461,3.1624731496182097,322.40191650390625,179.80306000375595,62.89244148483427,207.18421936035156,0.0,322.40191650390625,41.51491641404757,196.71641490578858,-1.1024845082689014,227656497.65679196,0.1345361699147311,6368.207506672106
75,141.5339813232422,205.5681915283203,211463915.84629643,1.9972610799313297,32.778587341308594,4.23915746324482,274.1123352050781,167.01762771245888,19.862454769787394,161.71295928955078,25.17461585998535,248.93771934509277,13.774977948100954,168.97648865879748,-0.0950258052489216,211463915.84629643,0.31273564310462304,658.1657527591996
76,142.33645324707032,210.40159606933594,241068350.31289095,2.107820752368197,45.81986999511719,2.6770268715381116,233.1933135986328,173.69906107095383,23.565726833518507,167.94570922851562,35.38858413696289,197.80472946166992,18.674163185285558,175.83540693292485,-0.10887328886239063,241068350.31289095,0.2582918924381833,746.726514336323
